Id,Label,timeset,function,gene,is_essential,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,metabolic_reactions,node_type,degree,go,weighted degree,eigencentrality,clustering,triangles
8,8,,ORF-V,YLR084C,0,1.632236,1.099422,0.951192,0.771654,0.694725,0.344227,0.373781,0.281087,0.911622,0.811659,0.90411,1.15736,1.313433,0.8,0.624154,0.785388,0.394649,0.253061,0.312437,0.861771,0.754286,0.705458,0.891631,1.419067,0.776557,0.925444,1.164027,0.654158,0.410124,0.371849,0.270033,1.124845,0.69011,0.786417,0.924166,1.159751,,protein,0,FALSE,0,0,0,0
1816,1816,,ORF-V,YGL004C,0,1.682179,1.252023,1.474461,1.245219,1.593715,1.598039,1.589382,1.475444,0.75908,1.550448,1.694064,1.156345,1.605052,1.454546,1.709932,1.343607,1.736901,1.87449,1.570273,1.340173,1.627428,1.442843,1.409871,1.220457,2.139194,1.847337,1.384615,1.390467,1.35124,1.487395,1.756312,0.788628,1.35055,1.249016,1.153691,1.23444,,protein,3,FALSE,13.462123,0.003794,0.333333,1
3601,3601,,ORF-V,YDR389W,1,2.019296,1.650867,1.520999,0.852643,1.01908,1.034858,0.99675,0.979101,0.811138,0.988789,1.022831,1.363452,1.234214,1.496591,1.400677,0.949772,0.909699,1.006123,1.044489,0.859611,1.042286,0.910402,1.177039,1.735849,1.051282,1.360947,1.365385,1.144016,0.996901,0.933824,0.720088,0.995056,1.045055,0.847441,1.236603,1.353734,,protein,0,FALSE,0,0,0,0
12,12,,ORF-V,YDR150W,0,8.982974,10.344508,8.720772,7.841395,7.851852,7.62963,7.523294,6.425288,2.016949,6.113229,5.860731,5.532995,7.584386,8.809092,8.78781,8.421233,6.298774,7.52653,6.868554,4.939525,5.342857,6.095777,6.320815,6.05859,8.338218,7.831953,7.585973,7.698783,6.203512,6.710084,5.895719,3.960445,7.118681,4.847441,5.726997,6.379668,,protein,0,FALSE,0,0,0,0
423,423,,ORF-V,YMR027W,0,5.398411,5.412717,3.648127,5.038245,5.34119,4.720044,2.669556,4.221526,1.681598,4.334081,4.63242,4.608122,4.43054,5.373864,4.109481,3.916667,4.35786,3.758163,4.497472,3.360691,3.632,5.289392,4.646996,5.09434,4.787546,5.456805,4.567874,4.680528,3.817149,3.842437,3.86169,2.911001,4.501099,4.351378,4.544995,3.890041,,protein,136,FALSE,275,0.564425,0.788889,7242
1137,1137,,ORF-V,YEL057C,0,2.493757,3.79422,2.880817,2.642295,2.465769,2.221133,1.776815,1.126437,0.393462,0.325112,0.455479,0.373604,2.056257,3.144318,3.316027,3.16895,2.551839,2.128572,1.214358,0.601512,0.322286,0.508754,0.38412,0.459782,2.252747,3.931361,3.023756,2.580122,2.225207,1.794118,1.493963,0.501854,0.308791,0.373032,0.416582,0.563278,,protein,0,FALSE,0,0,0,0
1764,1764,,ORF-V,YOR042W,0,3.998865,4.372254,4.810442,3.647919,3.707071,3.432462,3.787649,2.971787,1.123487,2.474215,3.150685,2.074112,3.128588,3.845455,3.828443,4.757991,4.250836,3.387755,3.683518,1.738661,2.699429,2.602472,2.276824,1.889772,1.820513,4.939645,3.404978,2.60852,2.758264,2.64916,3.630077,1.679852,3.161539,2.590551,2.224469,2.128631,,protein,0,FALSE,0,0,0,0
13,13,,ORF-V,YJL102W,0,3.202043,2.269364,1.376845,1.784027,1.753086,1.335512,1.256771,1.37931,0.742131,2.696188,3.035388,3.352284,3.9093,1.820455,1.610609,1.391553,1.280936,1.132653,1.40546,1.12203,4.066286,3.063852,1.757511,3.726911,2.827839,1.943195,1.747738,1.20284,1.33781,1.287815,1.15258,0.568603,4.104396,3.568898,2.9727,3.324689,,protein,0,FALSE,0,0,0,0
2822,2822,,ORF-V,YNL049C,0,0.839955,0.63815,0.898978,0.410574,0.567901,0.480392,0.406284,0.526646,0.743341,0.621076,0.778539,0.667005,0.628014,0.410227,0.39842,0.465753,0.829431,0.464286,0.768453,0.947084,0.626286,0.651905,0.494635,0.913605,0.796093,0.636686,0.400453,0.840771,0.484504,0.454832,0.511526,0.527812,0.853846,0.474409,0.460061,0.403527,,protein,0,FALSE,0,0,0,0
4457,4457,,ORF-V,YOR299W,0,1.790011,1.165318,1.217934,0.974128,0.893378,0.851852,0.970748,1.252874,2.043584,1.928251,1.699772,1.898477,1.588978,1.260227,0.969526,0.966895,1.285396,0.890816,1,1.843412,2.803429,2.049434,1.822961,2.051639,1.434676,1.874556,1.205882,1.06998,0.863636,0.971639,0.968167,2.069221,1.987912,1.834646,1.78362,1.386929,,protein,0,FALSE,0,0,0,0
15,15,,ORF-V,YJR032W,0,0.699205,0.408092,0.562997,0.632171,0.547699,0.610022,0.539545,0.634274,0.991525,0.495516,0.599315,0.772589,0.557979,0.586364,0.390519,0.439498,0.67447,0.591837,0.734075,1.282937,0.490286,0.589083,0.358369,0.75571,0.653236,0.404734,0.718326,0.617647,0.722107,0.503151,0.44786,1.254635,0.349451,0.644685,0.484328,0.457469,,protein,0,FALSE,0,0,0,0
106,106,,ORF-V,YJR092W,0,4.603859,3.624277,2.29966,2.817773,2.035915,0.545752,0.253521,0.280042,0.784504,0.690583,2.084475,2.519797,3.950632,3.064773,2.422122,0.989726,1.535117,0.465306,0.24368,0.347732,0.546286,1.017508,1.708154,2.58292,5.094017,2.872189,3.218326,1.482759,0.995868,0.37395,0.16685,0.430161,0.465934,0.84252,1.097068,2.64834,,protein,0,FALSE,0,0,0,0
1478,1478,,ORF-V,YER050C,0,6.135074,5.023121,3.114642,2.190101,1.714927,1.941176,1.890574,1.479624,1.411622,5.658072,4.423516,4.702538,5.45465,4.207954,3.055305,2.277397,1.856187,2,1.490394,1.765659,3.273143,4.647786,4.559013,5.625621,5.997558,4.125444,2.373303,2.62069,2.276859,2.309874,1.77168,1.815822,4.697802,4.924213,3.694641,5.300829,,protein,0,FALSE,0,0,0,0
3062,3062,,ORF-V,YDL045W-A,0,9.721907,6.64393,4.490352,3.047244,2.887767,2.846405,2.702058,2.959248,3.177966,7.679373,8.318494,7.434517,8.174513,5.015909,4.056433,2.997717,2.295429,3.135714,3.028311,2.524838,5.573714,7.542739,7.595494,8.416087,9.102564,5.023669,3.933258,3.271806,2.964876,2.939075,3.19539,2.493201,6.801099,6.284449,7.449949,8.813277,,protein,0,FALSE,0,0,0,0
3079,3079,,ORF-U,YGR067C,0,25.600452,14.898265,7.262202,7.785152,7.892256,7.624183,6.513543,3.963427,0.932203,3.125561,4.562786,4.228427,20.881746,12.954546,10.454853,7.52169,6.314382,6.311224,4.701719,1.236501,3.484571,4.333676,4.33691,4.31281,28.446888,13.920711,8.140271,5.734281,5.797521,4.920168,5.236004,1.18665,3.594505,3.049212,3.434782,5.01556,,protein,174,FALSE,226,0.692541,0.576772,8681
3706,3706,,ORF-V,YIL093C,0,2.678774,0.764162,0.587968,0.469066,0.290685,0.421569,0.512459,0.599791,0.583535,2.66592,3.125571,2.367513,2.771527,0.820455,0.589165,0.624429,0.478261,0.434694,0.445905,0.492441,0.980571,2.508754,2.519313,1.693148,3.612943,1.140829,0.501131,0.425964,0.379132,0.406513,0.638858,0.620519,1.683517,2.021653,2.199191,2.375519,,protein,0,FALSE,0,0,0,0
16,16,,ORF-V,YBR229C,0,0.713961,0.679769,0.557321,0.688414,0.52413,0.754902,0.75948,0.848485,0.366828,0.560538,0.633562,0.452792,0.507463,0.572727,0.790068,0.825343,0.740245,0.781633,0.797775,0.605831,0.534857,0.519053,0.522532,0.562066,0.561661,0.493491,0.709276,0.873225,0.816116,0.818277,0.759605,0.537701,0.65055,0.540354,0.329626,0.559129,r_4165;r_4166,protein,2,FALSE,12.030299,0.000154,0,0
751,751,,ORF-U,YPR027C,0,0.183882,0.078613,0.124858,0.055118,0.1156,0.009804,0.121343,0.051202,0.107748,0.096413,0.111872,0.076142,0.129736,0.1125,0.06772,0.093607,0.070234,0.042857,0.110212,0.015119,0.131429,0.048404,0.111588,0.040715,0.141636,0.107692,0.04638,0.083164,0.056818,0.052521,0.096597,0.048208,0.061538,0.045276,0.075834,0.011411,,protein,86,FALSE,152,0.293292,0.875513,3200
1004,1004,,ORF-V,YDR194C,0,9.752554,4.915607,3.548241,2.883014,2.829405,2.787582,2.435536,2.76698,3.539952,7.35426,7.208904,7.82132,9.128588,4.559091,3.369074,2.957763,2.429209,2.465306,2.75632,3.060475,4.089143,7.07724,7.805794,8.681232,7.965812,4.086391,3.384616,2.817444,2.465909,2.769958,2.3809,4.21508,5.603297,5.441929,7.656218,8.597509,,protein,0,FALSE,0,0,0,0
